index,artist,title,mood,Lyrics
10,ML11,The Clientele,Impossible,relaxed,"There's a place that we can go at the end of a long, slow day
Street lamps fuse the rising night, I feel so far away
When you came in late from the garden, I couldn't turn my eyes
And I was dead

Outside in the crowded places, ships are sailing through the wood
Impossible
Leaving in the space between the Bovis homes, the railway heath
Impossible

I can see my freedom but I need a little time
Your hair wet and your arms full
You were dead, you were alive
Looking in the heart of light, looking into the silence

From those nights so frigid
They seemed hardly real
Through the last light on the plain
Roland to the dark tower came

Impossible
Impossible
Impossible"
11,ML12,The Tallest Man on Earth,Love Is All,sad,"Well I walk upon the river like it's easier than land
Evil's in my pocket and your will is in my hand
Oh, your will is in my hand

And I'll throw it in the current that I stand upon so still
Love is all, from what I've heard, but my heart's learned to kill
Oh, mine has learned to kill

Oh, I said I could rise
From the harness of our goals
Here come the tears
But like always, I let them go
Just let them go

And now spikes will keep on falling from the heavens to the floor
The future was our skin and now we don't dream anymore
No, we don't dream anymore

Like a house made from spider webs and the clouds rolling in
I bet this mighty river's both my savior and my sin
Oh, my savior and my sin

Oh, I said I could rise
From the harness of our goals
Here come the tears
But like always, I let them go
Just let them go

Well I walk upon the river like it's easier than land
Evil's in my pocket and your strength is in my hand
Your strength is in my hand

And I'll throw you in the current that I stand upon so still
Love is all, from what I've heard, but my heart's learned to kill
Oh, mine has learned to kill

Oh, I said I could rise
From the harness of our goals
Here come the tears
But like always, I let them go
Just let them go"
12,ML13,Garbage,Silence Is Golden,angry,"If I am silent
Then I am not real
If I speak up then
No one will hear
If I wear a mask there's
Somewhere to hide

Silence is golden
I have been broken
Safe in my own skin
So nobody wins

If I raise my voice
Will someone get hurt?
And if I can't feel 
Then I won't get touched
If no truth is spoken
Then no lies can hide

Silence is golden
I have been broken
Safe in my own skin
So nobody wins

Silence is golden
Nobody gets in
Safe in my own skin
So nobody wins

Did you hear me speak
Do you understand
Did you hear my voice
Will you hold my hand
Do you understand me

Won't someone listen?
Nobody gets in
My body's a temple
But nothing is simple

Silence is golden
I have been broken
Something was stolen
Safe in my own skin

Safe in my own skin
Won't someone listen?
My body's a temple
But nothing is simple

My body's a temple
But nothing is simple
Something was stolen
I have been broken

I have been broken
Silence is golden
I have been broken
Safe in my own skin"
13,ML14,Van Morrison,And It Stoned Me,relaxed,"Half a mile from the county fair
And the rain came pourin' down
Me and Billy standin' there
With a silver half a crown

Hands are full of a fishin' rod
And the tackle on our backs
We just stood there gettin' wet
With our backs against the fence

Oh, the water
Oh, the water
Oh, the water
Hope it don't rain all day

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me

And it stoned me to my soul
Stoned me just like goin' home
And it stoned me

And the rain let up and the sun came up
And we were gettin' dry
Almost let a pick-up truck
Nearly pass us by

So, we jumped right in and the driver grinned
And he dropped us up the road
And we looked at the swim and we jumped right in
Not to mention fishing poles

Oh, the water
Oh, the water
Oh, the water
Let it run all over me

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me

And it stoned me to my soul
Stoned me just like goin' home
And it stoned me

On the way back home we sang a song
But our throats were gettin' dry
Then we saw the man from across the road
With the sunshine in his eye

Well, he lived all alone in his own little home
With a great big gallon jar
There were bottles too, one for me and you
And he said, ""Hey, there you are""

Oh, the water
Oh, the water
Oh, the water
Get it myself from the mountain stream

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me

And it stoned me to my soul
Stoned me just like goin' home
And it stoned me

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me

And it stoned me to my soul
Stoned me just like goin' home
And it stoned me"
14,ML15,The Proclaimers,I'm On My Way,happy,"I'm on my way from misery to happiness today
ah-hah (ah-hah) ah-hah (ah-hah)
I'm on my way from misery to happiness today
ah-hah (ah-hah) ah-hah (ah-hah)

I'm on my way to what I want from this world
And years from now you'll make it to the next world
And everything that you receive up yonder
Is what you gave to me the day I wandered

I took a right, I took a right turning yesterday
ah-hah (ah-hah) ah-hah (ah-hah)
I took a right, I took a right turning yesterday
Yeah yeah yeah yeah

I took the road that brought me to your home town
I took the bus to streets that I could walk down
I walked the streets to find the one I'd looked for
I climbed the stair that led me to your front door

And now that I don't want for anything
I'd have Al Jolson sing I'm sitting on top of the world

I'll do my best, I'll do my best to do the best I can
ah-hah (ah-hah) ah-hah (ah-hah)
I'll do my best, I'll do my best to do the best I can
Ha-ah ha-ah ha-ah ha-ah

To keep my feet from jumping from the ground, dear
To keep my heart from jumping through my mouth, dear
To keep the past, the past and not the present
To try and learn when you teach me a lesson

And now that I don't want for anything
I'd have Al Jolson sing I'm sitting on top of the world

I'm on my way from misery to happiness today
ah-hah (ah-hah) ah-hah (ah-hah)
I'm on my way from misery to happiness today
Yeah yeah yeah yeah

I'm on my way to what I want from this world
And years from now you'll make it to the next world
And everything that you receive up yonder
Is what you gave to me the day I wandered

I'm on my way to what I want from this world
And years from now you'll make it to the next world
And everything that you receive up yonder
Is what you gave to me the day I wandered

I'm on my way
I'm on my way
I'm on my way
I'm on my way
I'm on my way
I'm on my way
(fade...)"
15,ML16,50 Cent,My Gun Go Off,angry,"My Gun
(50 Cent)

(Gunshots and Tire Screeching)

Nigga, my gun go off

You see the barrell turnin'
You feel the hollows burnin'
Nigga now you learnin'
Nigga, my gun go off

Call it attempted murder
Nigga I'm tryin' to merk ya,
When I come back bustin'
Nigga, my gun go off

Don't try to say I'm trippin'
When I get to flippin'
Then I smack the clip in,
Nigga, my gun go off

We call it putting work in,
Leavin' niggas hurtin',
Homocide's learkin'
My gun go off

Fuck Boy you can see it to believe it
Tryna dodge and wave it end up a parapelegic
Believe me its easy
I'll hurt you, I'll merk you, I'll pop summin'
Drop summin', I ain't gonna stop hunting
Run run till you're spun
One shot One gun
One-9...
1-1 emergency,
It's murder, B
It's excellent execution when I'm pulling the trigger
No mistake for that cake
I'm hittin you and your niggas
Feel the flame when I aim,
For the top of your brain
See the spark and the bang,
Nigga shit ain't a game
Do the math or get blast
Bullets go through the glass
Go through your ass fast
And the leather seat sittin' Ave.
It's not a war when there's casualties on one side
I ride
Turn it up on you niggas after Jay ride by
I click-clack that's that I don't flash, I mash
I wave the Uzi at em,
I make a movie out em.

Nigga, my gun go off

You see the barrell turnin'
You feel the hollows burnin'
Nigga now you learnin'
Nigga, my gun go off



Call it attempted murder
Nigga I'm tryin' to merk ya,
When I come back bustin'
Nigga, my gun go off

Don't try to say I'm trippin'
When I get to flippin'
Then I smack the clip in,
Nigga, my gun go off

We call it putting work in,
Leavin' niggas hurtin',
Homocide's learkin'
My gun go off

You better lose yourself in the moment
Use it, Fuck the music I'ma let it go
You only get one shot before I back out and fire back
At ya hat, ya back, ya ass crack, ya nutsack.
Your caddilac if you make it to that,
I'm hitting that
The 70's was smack
The 80's crack.
The 90's was grimey
Millennium mac man
Clips on the whips I ride in em
Bad bitches I ride inn em
Don't worry I'll get 'em
Gat Jammed or un-jammed
God dam Safest the safety don't work
Squeeze the eagle, it chirp.
End up faced down in the dirt
More than hurt,
Bring the beef where you hang out,
Bang out,
Shots ring out.
Hit your shoulders tryin' to blow your brains out.
Hit your homies in their legs,
Bet they have their canes out tomorrow
You know tomorrow's just a day away,
If you can keep your heart beatin' then your ass awake.

Nigga, my gun go off

You see the barrell turnin'
You feel the hollows burnin'
Nigga now you learnin'
Nigga, my gun go off

Call it attempted murder
Nigga I'm tryin' to merk ya,
When I come back bustin'
Nigga, my gun go off

Don't try to say I'm trippin'
When I get to flippin'
Then I smack the clip in,
Nigga, my gun go off

We call it putting work in,
Leavin' niggas hurtin',
Homocide's learkin'
My gun go off"
16,ML17,Collie Buddz,Mamacita,happy,"I tek the next shot of tequila
The vibes tonight yeah so sweet yah
I mon spot this sweet senorita
Who a bounce to the bass and the tweeter
She look muy bonita (very beautiful)
The way she move remind me of Selina
She rock slow she dip slow
She only dance to reggae and calypso
Look how the dress hug up pon her hips
Look how she move fast and a do it slow
Muy bonita
Mamacita

Gal whine let me come behind yuh
Eh me make she feel all right
Coulda dance all night if yuh want oh
Till a mornin light
Love how you feel infront a me so gal
Let me hold you tight

Look it a girl get in the arena
Number one gal prima ballerina
Little girl how you fi come in here
She nuh drink only smoke sinsemilla
She look muy bonita
You nuh see that a my mona lisa
She rock slow she dip slow
She only dance to reggae and calypso
Look how she move fast and a do it slow
Muy bonita
My mamacita

Gal whine let me come behind yuh
Eh me make she feel all right
Coulda dance all night if yuh want oh
Till a mornin light
Love how you feel infront a me so gal
Let me hold you tight

Gal whine let me come behind yuh
Eh me make she feel all right
Coulda dance all night if yuh want oh
Till a mornin light
Love how you feel infront a me so gal
Let me hold you tight

I tek the next shot of tequila
The vibes tonight yeah so sweet yah
I mon spot this sweet senorita
Who a bounce to the bass and the tweeter
She look muy bonita (very beautiful)
The way she move remind me of Selina
She rock slow she dip slow
She only dance to reggae and calypso
Look how the dress hug up pon her hips
Look how she move fast and a do it slow
Muy bonita
Mamacita

Gal whine let me come behind yuh
Eh me make she feel all right
Coulda dance all night if yuh want oh
Till a mornin light
Love how you feel infront a me so gal
Let me hold you tight

(Repeats till end)"
17,ML18,Avenged Sevenfold,Coming Home,angry,"I've been away, searching for a reason
Another purpose to find
I've sailed the seas, fought my many demons
I've looked to gods in the skies

I've stood in Hell, where many had to suffer
I stabbed the Devil in the eyes
Walked many roads to witness ancient idols
And found the great Gates of Fire

Had many storms question my conviction
Gave armies reason to rise
The Hangman's searching for bones he can borrow
While I escaped in the night!
Final plight!

Live again; I won't sin!
I'll be coming home
Tend your light, cause on this night
I'll be coming home

Escape the hell of capitulated mortals
And drink the blood of a king
A desert rain has washed away direction
Had angels looking after me so it seems

Live again; I won't sin!
I'll be coming home
Tend your light, cause on this night
I'll be coming home

My story ends not far from where it started
My weary limbs have grown old
I've seen the world through the eyes of a nomad
Home is where the heart is, I've been told
So I go!

Live again; I won't sin!
I'll be coming home
Tend your light, cause on this night
I'll be coming home

I'm coming home
I'm coming home
I'm coming home
I'm coming home"
18,ML19,Avril Lavigne,How Does It Feel,sad,"I'm not afraid of anything 
I just need to know that I can breathe 
I don't need much of anything 
But suddenly, suddenly 
I am small and the world is big 
All around me is fast moving 
Surrounded by so many things 
Suddenly, suddenly 

How does it feel 
To be different from me? 
Are we the same? 
How does it feel 
To be different from me? 
Are we the same? 
How does it feel? 

I am young and I am free 
But I get tired and I get weak 
I get lost and I can't sleep 
But suddenly, suddenly 

How does it feel 
To be different from me? 
Are we the same? 
How does it feel 
To be different from me? 
Are we the same? 
How does it feel? 

Would you comfort me? 
Would you cry with me? 

I am small and the world is big 
But I am not afraid of anything 

How does it feel 
To be different from me? 
Are we the same? 
How does it feel 
To be different from me? 
Are we the same? 
How does it feel? 

How does it feel, how does it feel 
You're different from me, different"
19,ML20,The Streets,Never Went to Church,sad,"Two great European narcotics,
Alcohol and Christianity,
I know which one I prefer

We never went to church,
Just get on with work and sometimes things'll hurt,
But it's hit me since you left us,
And it's so hard not to search.

If you were still about,
I'd ask you what I'm supposed to do now,
I just get a bit scared,
Every now,
Hope I made you proud.

On your birthday when mum passed the forks and spoons,
I put my head on the table I was so distraught with you,
You tidied your things into the bin,
The more poorly you grew,
So there's nothing of yours to hold or to talk to.

You'd put your hand up and interrupt the conversation with a, but...
People say I interrupt people with the same look.
Sometimes I think so hard I can't remember how your face looked,
Started reading about dreams in your favourite book.

I panic and pace when I can't see the right thing to do.
You'd be scratching your head through the best advice you knew.
And I feel sad I can't hear you reciting it through,
I miss you dad but I've got nothing to remind me of you

We never went to church,
Just get on with work and sometimes things'll hurt,
But it's hit me since you left us,
And it's so hard not to search.

If you were still about,
I'd ask you what I'm supposed to do now,
I just get a bit scared,
Every now,
Hope I made you proud.

I needed a break when your book about dreams was taken,
I needed to pray or see a priest that day,
I needed to leave this trade and just heave it away.
But I cleaned up my place like you so I could see things straight.

I never cared about God when life was sailin' on the calm,
So I said I'd get my head down and I'd deal with the ache in my heart,
And for that if God exists I'd reckon he'd pay me regard,
Mum says me and you are the same from the start.

I guess than you did leave me something to remind me of you,
Everytime I interrupt someone like you used to,
When I do something like you you'll be on my mind or through,
'Cause I forgot you left me behind to remind me of you.

We never went to church,
Just get on with work and sometimes things'll hurt,
But it's hit me since you left us,
And it's so hard not to search.

If you were still about,
I'd ask you what I'm supposed to do now,
I just get a bit scared,
Every now,
Hope I made you proud.

We never went to church,
Just get on with work and sometimes things'll hurt,
But it's hit me since you left us,
And it's so hard not to search.

But you you still tell me how you didn't know what to do even now,
And then I'm not so scared somehow,
'Cause I know that you'd be proud.

I got a good one for you dad,
I'm gonna see a priest, a Rabbi and a Protestant clergyman,
You always said I should hedge my bets."
20,ML21,Geto Boys,Chuckie,angry,"Verse one: Bushwick Bill

I told you size wasn't shit
That's why I murdered your neices
Wasn't my fault they found they head cut in 88 pieces
Don't let 'em run
Hurry up and catch 'em
You grab an arm I grab an arm let's pull till we stretch 'em
Play pussy, get fucked
Means you're better off dead
I wanna see food so I fished in a child's head
Motherfuckers be worried 'cause I'm sick
Dead heads and frog legs
Mmm... cake mix!
Friday the 13th
The night of the living dead
Vampire arms walkin' 'round givin' niggas head
If you didn't die, I'd say you got lucky
All bodies found dead
Fuck it, blame it on Chuckie
But this is child's play... motherfucka!

Aw fuck, Chuck's on a killin' spree!
Gimme some barb and I'll start by killin' me!
When I murder, I tried to slack off
Now 100 missiles blew a little girl's back off
My name is Chuckie, some say I'm insane
You give me some gin, and I might eat a dog's brain!
Give me a motherfuckin 15-pack
And I'll be damned if I don't bring 15 dead niggas back!
A murder contest,
You know I'll win it
Cause in every mailbox, there be a head with a knife in it
I'm gettin' hungry
I need to be fed
I feel like eatin' a bag of barbequed broke legs!
Bustin' necks with a motherfuckin' brick!
Half my body is Chuckie
The other half is Bushwick
A short nigga
Always pumpin' some lead
Haven't figured out a way to get my fist out your forehead
What up
Get up
Sit up
You get lit up
A knife in his neck made a polar bear spit up
A 9, a Uzi is my only utensils
Inside his chest they found 10,000 pencils
You have the nerve to try to go against Chuck?
With fifty guns aimed at you
How the fuck you gonna duck?
Yo,
When I'm mad, I'm ready to slay
The graveyards are packed
But it ain't nothin' but child's play

You'd better murder me
Put me to rest
'Cause if you don't I'll come out shootin
With my head in a bird's chest
Pissed off,
The way I'm always soundin'
Killed a punk in '82, and they just now found 'im
Some say I'm crazy
Some say I'm on crack
Before I die
Cut off my leg and let me die in Iraq
A born loooser
Some say I'm mindless
If I get pissed off
You leave naked and spineless
Worse than Charles Manson
Never havin' a equal
Went sleepwalkin' last night and killed 300 people
When I woke up they had me chained to the floor
When they told me what I did I killed 300 more
Yo
You wanna rumble?
Then go get your war hat
I went to jail for assault with a carjack
I might be small
But my nuts are big
The worst that you could do is let me keep your fuckin' kids
'Cause I'm a teach 'em how to act
And if they ain't actin' right
They dyin' tonight!
So, uh
Ain't no use in you tryin' to spot 'em
I send you a motherfuckin note that says ""Chuckie's got em!"""
